
[0, 'xsh.swu.edu.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://xsh.swu.edu.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.dzjl.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.dzjl.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.hbxtlf.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.hbxtlf.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.powecn.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.powecn.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.powecn.com', 'exp', 'exp_etcms_Upload_shell', 'http://127.0.0.1:88/celive/uploadfiles/CELIVE-7PTwpPDBsu.php;.jpg', 'long', 'webshell']
[0, 'ythdsw.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://ythdsw.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.3c8848.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.3c8848.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.dlyoutao.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.dlyoutao.com/celive/live/doajaxfileupload.php', '', '']
[0, 'ntzdyg.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://ntzdyg.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.dlyoutao.com', 'exp', 'exp_etcms_Upload_shell', 'http://www.dlyoutao.com/celive/uploadfiles/CELIVE-qFKHCHG7xB.php;.jpg', 'long', 'webshell']
[0, 'www.helpclean.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.helpclean.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.sino-ng.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.sino-ng.com/celive/live/doajaxfileupload.php', '', '']
[0, 'ydoa.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://ydoa.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.wh3a.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.wh3a.com/celive/live/doajaxfileupload.php', '', '']
[0, 'qt888.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://qt888.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'qt888.cn', 'exp', 'exp_etcms_Upload_shell', 'http://www.qt888.cn/celive/uploadfiles/CELIVE-v7v7M6azP0.php;.jpg', 'long', 'webshell']
[0, 'haojiudao.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://haojiudao.com/celive/live/doajaxfileupload.php', '', '']
[0, 'haojiudao.com', 'exp', 'exp_etcms_Upload_shell', 'http://www.localserver.com/test/cmseasy1205/celive/uploadfiles/CELIVE-nxsOxCBsh4.php;.jpg', 'long', 'webshell']
[0, 'qdlyjzjx.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://qdlyjzjx.com/celive/live/doajaxfileupload.php', '', '']
[0, 'groupzhongsheng.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://groupzhongsheng.com/celive/live/doajaxfileupload.php', '', '']
[0, 'gleps.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://gleps.com/celive/live/doajaxfileupload.php', '', '']
[0, 'yiyinxiangsi.net', 'exp', 'exp_cmseasy_IIS6_jx', 'http://yiyinxiangsi.net/celive/live/doajaxfileupload.php', '', '']
[0, 'yiyinxiangsi.net', 'exp', 'exp_etcms_Upload_shell', 'http://yiyinxiangsi.net/celive/uploadfiles/CELIVE-zyG6ezjN7O.php;.jpg', 'long', 'webshell']
[0, 'groupzhongsheng.com', 'exp', 'exp_etcms_Upload_shell', 'http://www.groupzhongsheng.com/celive/uploadfiles/CELIVE-T8XLO4gPsB.php;.jpg', 'long', 'webshell']
[0, 'gleps.com', 'exp', 'exp_etcms_Upload_shell', 'http://www.gleps.com/celive/uploadfiles/CELIVE-eRVp7vWqD9.php;.jpg', 'long', 'webshell']
[0, 'ysxy.swuyc.edu.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://ysxy.swuyc.edu.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.md808.net', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.md808.net/celive/live/doajaxfileupload.php', '', '']
[0, 'qdkjfm.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://qdkjfm.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.lcdeco.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.lcdeco.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.erainbow.net', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.erainbow.net/celive/live/doajaxfileupload.php', '', '']
[0, 'www.erainbow.net', 'exp', 'exp_etcms_Upload_shell', 'http://www.erainbow.net/celive/uploadfiles/CELIVE-5Z7ASBQVWE.php;.jpg', 'long', 'webshell']
[0, 'www.zbzhengyuan.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.zbzhengyuan.com/celive/live/doajaxfileupload.php', '', '']
[0, 'dsolab.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://dsolab.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.2010bxz.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.2010bxz.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.tacera.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.tacera.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.2010bxz.com', 'exp', 'exp_etcms_Upload_shell', 'http://www.2010bxz.com/celive/uploadfiles/CELIVE-0YmH30FtXs.php;.jpg', 'long', 'webshell']
[0, 'www.sostarservice.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.sostarservice.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.sostarservice.com', 'exp', 'exp_etcms_Upload_shell', 'http://web1473248.w9.cmseasy.net/celive/uploadfiles/CELIVE-XzfR7JfBwX.php;.jpg', 'long', 'webshell']
[0, 'www.jifengshucai.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.jifengshucai.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.food027.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.food027.com/celive/live/doajaxfileupload.php', '', '']
